date,zone,consumption,temperature,occupancy
2025-01-01,Academic Block,4109.7,21.9,1032
2025-01-02,Academic Block,4325.3,21.9,988
2025-01-03,Academic Block,4346.8,23.6,976
2025-01-04,Academic Block,2937.4,21.9,976
2025-01-05,Academic Block,2884.5,19.8,913
2025-01-06,Academic Block,3949.4,21.3,1015
2025-01-07,Academic Block,3890.5,20.8,1073
2025-01-08,Academic Block,4037.2,23.2,928
2025-01-09,Academic Block,3983.7,23.4,942
2025-01-10,Academic Block,4177.9,22.5,985
2025-01-11,Academic Block,2758.7,26.3,999
2025-01-12,Academic Block,2674.6,24.9,938
2025-01-13,Academic Block,4174.9,20.8,933
2025-01-14,Academic Block,4182.6,25.0,1008
2025-01-15,Academic Block,4130.1,23.6,926
2025-01-16,Academic Block,4019.2,23.5,1052
2025-01-17,Academic Block,4241.8,21.7,1016
2025-01-18,Academic Block,2851.1,23.4,1030
2025-01-19,Academic Block,3141.1,26.0,958
2025-01-20,Academic Block,4140.7,25.2,1048
2025-01-21,Academic Block,4116.4,24.6,944
2025-01-22,Academic Block,3982.6,26.2,1067
2025-01-23,Academic Block,4217.0,26.6,1018
2025-01-24,Academic Block,4111.9,25.8,1076
2025-01-25,Academic Block,2968.1,27.7,869
2025-01-26,Academic Block,3146.1,25.6,985
2025-01-27,Academic Block,4287.3,22.6,989
2025-01-28,Academic Block,4349.6,27.9,974
2025-01-29,Academic Block,4125.5,25.1,1045
2025-01-30,Academic Block,4362.0,25.2,1025
2025-01-31,Academic Block,4324.6,27.5,964
2025-02-01,Academic Block,2954.3,25.6,926
2025-02-02,Academic Block,3085.2,26.7,1000
2025-02-03,Academic Block,4284.5,24.3,978
2025-02-04,Academic Block,4271.5,25.3,991
2025-02-05,Academic Block,4429.3,29.5,1008
2025-02-06,Academic Block,4408.3,26.6,904
2025-02-07,Academic Block,4359.8,27.0,1123
2025-02-08,Academic Block,3022.8,27.4,998
2025-02-09,Academic Block,2833.1,28.8,1037
2025-02-10,Academic Block,4547.4,25.8,1070
2025-02-11,Academic Block,4116.6,28.2,1109
2025-02-12,Academic Block,4206.6,26.5,1004
2025-02-13,Academic Block,4311.5,25.2,1003
2025-02-14,Academic Block,4207.2,28.3,954
2025-02-15,Academic Block,3408.9,26.5,983
2025-02-16,Academic Block,3266.6,25.9,1011
2025-02-17,Academic Block,4702.7,25.5,1009
2025-02-18,Academic Block,4500.2,29.1,938
2025-02-19,Academic Block,4190.9,28.8,1014
